,symbol,date,close,volume,change,percentChange
4116,IEFA,2019-10-02,59.360001,8698600.0,-0.46,-0.769
4117,IEFA,2019-10-01,60.580002,9611800.0,-0.42,-0.689
4118,IEFA,2019-09-30,61.07,9716300.0,0.06,0.098
4119,IEFA,2019-09-27,60.91,7610100.0,-0.19,-0.311
4120,IEFA,2019-09-26,61.150002,5050000.0,-0.1,-0.163
4121,IEFA,2019-09-25,60.939999,7731700.0,0.19,0.313
4122,IEFA,2019-09-24,61.099998,7433500.0,-0.35,-0.57
4123,IEFA,2019-09-23,61.290001,5051000.0,0.22,0.36
4124,IEFA,2019-09-20,61.419998,8227500.0,-0.25,-0.405
4125,IEFA,2019-09-19,61.630001,3282800.0,-0.06,-0.097
4126,IEFA,2019-09-18,61.380001,4016100.0,0.07,0.114
4127,IEFA,2019-09-17,61.459999,4887900.0,0.32,0.523
4128,IEFA,2019-09-16,61.25,6113000.0,-0.2,-0.325
4129,IEFA,2019-09-13,61.759998,5883800.0,0.0,0.0
4130,IEFA,2019-09-12,61.400002,5645400.0,0.28,0.458
4131,IEFA,2019-09-11,61.09,6060400.0,0.22,0.361
4132,IEFA,2019-09-10,60.700001,5675900.0,0.17,0.281
4133,IEFA,2019-09-09,60.610001,6694400.0,-0.04,-0.066
4134,IEFA,2019-09-06,60.43,4050700.0,0.03,0.05
4135,IEFA,2019-09-05,60.290001,4410000.0,-0.03,-0.05
4136,IEFA,2019-09-04,59.889999,5279600.0,0.15,0.251
4137,IEFA,2019-09-03,59.060001,7774100.0,0.14,0.238
4138,IEFA,2019-08-30,59.330002,12757300.0,-0.06,-0.101
4139,IEFA,2019-08-29,59.0,5998400.0,0.0,0.0
4140,IEFA,2019-08-28,58.48,6521800.0,0.16,0.274
4141,IEFA,2019-08-27,58.509998,13481100.0,-0.26,-0.442
4142,IEFA,2019-08-26,58.540001,5599700.0,-0.07,-0.119
4143,IEFA,2019-08-23,58.09,7926100.0,-0.54,-0.921
4144,IEFA,2019-08-22,58.799999,4968400.0,-0.09,-0.153
4145,IEFA,2019-08-21,58.889999,3945400.0,-0.15,-0.254
4146,IEFA,2019-08-20,58.439999,4887400.0,-0.18,-0.307
4147,IEFA,2019-08-19,58.630001,7918200.0,-0.16,-0.272
4148,IEFA,2019-08-16,58.32,7671000.0,0.4,0.691
4149,IEFA,2019-08-15,57.610001,11390700.0,0.02,0.035
